Designator,Mid X,Mid Y,Rotation,Layer
C1,113.52,-134.6,0.0,top
C10,114.22,-123.6,0.0,top
C11,105.1,-119.7,45.0,top
C12,106.4,-118.4,225.0,top
C13,111.025,-127.555,315.0,top
C14,104.660589,-127.339411,225.0,top
C15,111.8,-126.8,315.0,top
C16,114.3,-124.6,0.0,top
C17,113.260589,-119.939411,45.0,top
C2,113.7,-129.6,0.0,top
C3,103.48,-118.7,180.0,top
C4,112.4,-113.02,90.0,top
C5,102.160589,-125.560589,315.0,top
C6,102.5,-133.4,0.0,top
C7,114.0,-122.6,0.0,top
C8,105.321178,-127.978822,225.0,top
C9,111.539411,-119.810589,225.0,top
J1,108.0,-103.029,180.0,top
J2,108.0,-141.9,0.0,top
R1,106.0,-112.92,270.0,top
R10,105.960589,-128.639411,225.0,top
R11,106.639411,-129.260589,225.0,top
R2,110.6,-109.3,0.0,top
R3,106.4,-109.28,90.0,top
R5,104.02,-136.0,180.0,top
R6,111.52,-136.1,180.0,top
R7,104.0,-126.7,45.0,top
R8,114.060589,-120.439411,45.0,top
R9,114.7,-121.1,225.0,top
SW1,103.2,-111.1,180.0,top
U1,114.05,-132.25,90.0,top
U2,109.3125,-114.414967,0.0,top
U3,102.9,-115.6,270.0,top
U4,102.25,-130.55,90.0,top
U5,107.912214,-123.415742,45.0,top
